ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D0623E,LINEAR-R-REL,0.34935,0.32722,0.33792,4
ROUGE-1,D0623E,DECISIONT-MMR-SIMPLERED,0.31232,0.29247,0.30207,4
ROUGE-1,D0623E,DECISIONT-REL,0.31570,0.28745,0.30092,4
ROUGE-1,D0623E,DECISIONT-MMR-UNICOSRED,0.29596,0.27713,0.28624,4
ROUGE-1,D0606F,RF-R-MMR-UNICOSRED,0.31631,0.30859,0.31240,4
ROUGE-1,D0606F,DECISIONT-REL,0.31564,0.30288,0.30913,4
ROUGE-1,D0606F,RF-R-REL,0.29841,0.29563,0.29702,4
ROUGE-1,D0606F,LINEAR-R-REL,0.27138,0.26673,0.26904,4
ROUGE-1,D0606F,DECISIONT-MMR-UNICOSRED,0.31339,0.30929,0.31132,4
ROUGE-1,D0606F,LINEAR-R-MMR-SIMPLERED,0.27838,0.28367,0.28100,4
ROUGE-1,D0606F,DECISIONT-MMR-SIMPLERED,0.28835,0.28916,0.28875,4
ROUGE-1,D0606F,LINEAR-R-MMR-UNICOSRED,0.29735,0.29700,0.29718,4
ROUGE-1,D0606F,RF-R-MMR-SIMPLERED,0.30635,0.30237,0.30435,4
