ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D400B,C,0.44653,0.43750,0.44197,9
ROUGE-1,D400B,D,0.41094,0.41067,0.41080,9
ROUGE-1,D400B,22,0.19091,0.30169,0.23384,9
ROUGE-1,D400B,A,0.44617,0.44268,0.44442,9
ROUGE-1,D400B,B,0.41221,0.43870,0.42504,9
ROUGE-1,D400B,4,0.31163,0.30820,0.30991,9
ROUGE-1,D400B,3,0.28228,0.27844,0.28034,9
ROUGE-1,D400B,6,0.32439,0.32485,0.32462,9
ROUGE-1,D400B,5,0.30035,0.30443,0.30237,9
ROUGE-1,D400B,8,0.28597,0.27713,0.28148,9
ROUGE-1,D400B,7,0.31263,0.30469,0.30861,9
ROUGE-1,D400B,9,0.33835,0.32858,0.33339,9
ROUGE-1,D400B,31,0.30012,0.29718,0.29864,9
ROUGE-1,D400B,30,0.24389,0.24606,0.24497,9
ROUGE-1,D400B,32,0.27022,0.28700,0.27836,9
ROUGE-1,D400B,19,0.28374,0.27433,0.27895,9
ROUGE-1,D400B,18,0.25771,0.30010,0.27730,9
ROUGE-1,D400B,17,0.29643,0.28751,0.29190,9
ROUGE-1,D400B,2,0.29976,0.30397,0.30185,9
ROUGE-1,D400B,1,0.31015,0.30091,0.30546,9
ROUGE-1,D400B,16,0.31511,0.30686,0.31093,9
ROUGE-1,D400B,14,0.28892,0.30686,0.29762,9
ROUGE-1,D400B,15,0.28441,0.28311,0.28376,9
ROUGE-1,D400B,12,0.27746,0.27102,0.27421,9
ROUGE-1,D400B,13,0.32323,0.32659,0.32490,9
ROUGE-1,D400B,10,0.29309,0.28228,0.28759,9
ROUGE-1,D400B,11,0.27987,0.26531,0.27240,9
ROUGE-1,D0601A,34,0.27642,0.25846,0.26714,4
ROUGE-1,D0601A,35,0.27533,0.27510,0.27522,4
ROUGE-1,D0601A,B,0.57014,0.56201,0.56605,4
ROUGE-1,D0601A,10,0.34476,0.33760,0.34114,4
ROUGE-1,D0601A,11,0.18006,0.24724,0.20837,4
ROUGE-1,D0601A,A,0.54996,0.54464,0.54729,4
ROUGE-1,D0601A,12,0.32279,0.32100,0.32189,4
ROUGE-1,D0601A,30,0.33627,0.36413,0.34965,4
ROUGE-1,D0601A,13,0.30866,0.30948,0.30907,4
ROUGE-1,D0601A,31,0.29062,0.29251,0.29156,4
ROUGE-1,D0601A,32,0.32590,0.31518,0.32045,4
ROUGE-1,D0601A,14,0.30157,0.29070,0.29604,4
ROUGE-1,D0601A,33,0.35819,0.35317,0.35566,4
ROUGE-1,D0601A,15,0.33973,0.33137,0.33550,4
ROUGE-1,D0601A,C,0.55830,0.56048,0.55939,4
ROUGE-1,D0601A,E,0.55180,0.56535,0.55849,4
ROUGE-1,D0601A,17,0.26227,0.33462,0.29406,4
ROUGE-1,D0601A,16,0.32666,0.32115,0.32388,4
ROUGE-1,D0601A,19,0.31065,0.30176,0.30614,4
ROUGE-1,D0601A,18,0.29238,0.30826,0.30011,4
ROUGE-1,D0601A,21,0.32720,0.32600,0.32660,4
ROUGE-1,D0601A,22,0.33962,0.33665,0.33813,4
ROUGE-1,D0601A,20,0.31383,0.30233,0.30797,4
ROUGE-1,D0601A,25,0.24810,0.24799,0.24804,4
ROUGE-1,D0601A,26,0.28134,0.31111,0.29548,4
ROUGE-1,D0601A,23,0.35578,0.34706,0.35136,4
ROUGE-1,D0601A,24,0.34160,0.33597,0.33876,4
ROUGE-1,D0601A,6,0.30457,0.29360,0.29899,4
ROUGE-1,D0601A,5,0.33785,0.32685,0.33226,4
ROUGE-1,D0601A,4,0.34369,0.33929,0.34148,4
ROUGE-1,D0601A,3,0.35593,0.37342,0.36447,4
ROUGE-1,D0601A,9,0.25634,0.29514,0.27438,4
ROUGE-1,D0601A,8,0.34790,0.33789,0.34282,4
ROUGE-1,D0601A,7,0.33274,0.32074,0.32663,4
ROUGE-1,D0601A,29,0.31166,0.32427,0.31784,4
ROUGE-1,D0601A,28,0.33378,0.31679,0.32506,4
ROUGE-1,D0601A,27,0.34756,0.35597,0.35171,4
ROUGE-1,D0601A,2,0.33462,0.31180,0.32281,4
ROUGE-1,D0601A,1,0.25245,0.24322,0.24775,4
ROUGE-1,D0630C,10,0.39486,0.39397,0.39441,4
ROUGE-1,D0630C,11,0.24712,0.37135,0.29675,4
ROUGE-1,D0630C,30,0.39017,0.41841,0.40380,4
ROUGE-1,D0630C,12,0.38873,0.39800,0.39331,4
ROUGE-1,D0630C,31,0.37347,0.39082,0.38195,4
ROUGE-1,D0630C,13,0.37429,0.37945,0.37685,4
ROUGE-1,D0630C,32,0.39611,0.39494,0.39552,4
ROUGE-1,D0630C,33,0.36268,0.36614,0.36440,4
ROUGE-1,D0630C,34,0.32795,0.33333,0.33062,4
ROUGE-1,D0630C,35,0.30892,0.38659,0.34341,4
ROUGE-1,D0630C,18,0.28558,0.31438,0.29929,4
ROUGE-1,D0630C,19,0.30836,0.31225,0.31030,4
ROUGE-1,D0630C,C,0.55361,0.54580,0.54968,4
ROUGE-1,D0630C,14,0.31004,0.31673,0.31335,4
ROUGE-1,D0630C,15,0.45069,0.43421,0.44230,4
ROUGE-1,D0630C,16,0.34050,0.34350,0.34200,4
ROUGE-1,D0630C,17,0.35072,0.41096,0.37846,4
ROUGE-1,D0630C,5,0.41570,0.41602,0.41586,4
ROUGE-1,D0630C,20,0.29925,0.30456,0.30188,4
ROUGE-1,D0630C,6,0.36110,0.36275,0.36192,4
ROUGE-1,D0630C,7,0.36156,0.36660,0.36406,4
ROUGE-1,D0630C,8,0.44954,0.43165,0.44041,4
ROUGE-1,D0630C,23,0.40401,0.39961,0.40180,4
ROUGE-1,D0630C,9,0.39003,0.41841,0.40372,4
ROUGE-1,D0630C,24,0.36452,0.35687,0.36066,4
ROUGE-1,D0630C,21,0.30231,0.39948,0.34417,4
ROUGE-1,D0630C,22,0.34804,0.35277,0.35039,4
ROUGE-1,D0630C,27,0.37820,0.38340,0.38078,4
ROUGE-1,D0630C,28,0.38347,0.38681,0.38514,4
ROUGE-1,D0630C,25,0.31148,0.33508,0.32285,4
ROUGE-1,D0630C,26,0.29024,0.33111,0.30933,4
ROUGE-1,D0630C,29,0.34830,0.36578,0.35682,4
ROUGE-1,D0630C,I,0.55627,0.56102,0.55864,4
ROUGE-1,D0630C,H,0.54992,0.56452,0.55712,4
ROUGE-1,D0630C,G,0.53288,0.52992,0.53140,4
ROUGE-1,D0630C,2,0.40188,0.39768,0.39977,4
ROUGE-1,D0630C,1,0.26307,0.29867,0.27974,4
ROUGE-1,D0630C,4,0.34708,0.35458,0.35079,4
ROUGE-1,D0630C,3,0.36360,0.37151,0.36751,4
ROUGE-1,D346H,17,0.29903,0.29663,0.29783,4
ROUGE-1,D346H,18,0.26036,0.32828,0.29040,4
ROUGE-1,D346H,30,0.25912,0.26109,0.26010,4
ROUGE-1,D346H,19,0.26637,0.26815,0.26726,4
ROUGE-1,D346H,13,0.27090,0.29846,0.28401,4
ROUGE-1,D346H,32,0.29257,0.28725,0.28989,4
ROUGE-1,D346H,31,0.27224,0.28692,0.27939,4
ROUGE-1,D346H,14,0.25896,0.29036,0.27376,4
ROUGE-1,D346H,15,0.28634,0.28700,0.28667,4
ROUGE-1,D346H,16,0.27647,0.27490,0.27568,4
ROUGE-1,D346H,10,0.26940,0.27000,0.26970,4
ROUGE-1,D346H,A,0.50866,0.50900,0.50883,4
ROUGE-1,D346H,11,0.27979,0.26415,0.27174,4
ROUGE-1,D346H,12,0.27742,0.27362,0.27551,4
ROUGE-1,D346H,B,0.48781,0.50633,0.49690,4
ROUGE-1,D346H,C,0.51799,0.51581,0.51690,4
ROUGE-1,D346H,6,0.29799,0.29102,0.29446,4
ROUGE-1,D346H,7,0.31176,0.30000,0.30577,4
ROUGE-1,D346H,28,0.27593,0.29741,0.28627,4
ROUGE-1,D346H,8,0.25138,0.27283,0.26166,4
ROUGE-1,D346H,9,0.32570,0.31712,0.32135,4
ROUGE-1,D346H,29,0.27521,0.27722,0.27621,4
ROUGE-1,D346H,26,0.26531,0.28804,0.27621,4
ROUGE-1,D346H,27,0.28908,0.27788,0.28337,4
ROUGE-1,D346H,24,0.34283,0.34858,0.34568,4
ROUGE-1,D346H,25,0.28752,0.28248,0.28498,4
ROUGE-1,D346H,22,0.28695,0.28472,0.28583,4
ROUGE-1,D346H,23,0.07305,0.33182,0.11973,4
ROUGE-1,D346H,20,0.24876,0.30846,0.27541,4
ROUGE-1,D346H,21,0.29871,0.29663,0.29767,4
ROUGE-1,D346H,1,0.25618,0.25397,0.25507,4
ROUGE-1,D346H,3,0.27447,0.28189,0.27813,4
ROUGE-1,D346H,2,0.22738,0.26152,0.24326,4
ROUGE-1,D346H,H,0.48155,0.46578,0.47353,4
ROUGE-1,D346H,5,0.28818,0.31169,0.29947,4
ROUGE-1,D346H,4,0.29816,0.29086,0.29446,4
ROUGE-1,D0637A,27,0.34097,0.37229,0.35594,4
ROUGE-1,D0637A,2,0.34295,0.35306,0.34793,4
ROUGE-1,D0637A,26,0.33095,0.36947,0.34915,4
ROUGE-1,D0637A,3,0.33686,0.34694,0.34182,4
ROUGE-1,D0637A,25,0.33082,0.33669,0.33373,4
ROUGE-1,D0637A,4,0.34988,0.35442,0.35214,4
ROUGE-1,D0637A,24,0.35765,0.36687,0.36220,4
ROUGE-1,D0637A,5,0.35190,0.35218,0.35204,4
ROUGE-1,D0637A,29,0.33085,0.34937,0.33986,4
ROUGE-1,D0637A,1,0.00297,0.10714,0.00578,4
ROUGE-1,D0637A,28,0.33500,0.34211,0.33851,4
ROUGE-1,D0637A,6,0.35482,0.36382,0.35927,4
ROUGE-1,D0637A,7,0.35270,0.35317,0.35294,4
ROUGE-1,D0637A,8,0.37661,0.37402,0.37531,4
ROUGE-1,D0637A,9,0.37365,0.38469,0.37909,4
ROUGE-1,D0637A,22,0.37443,0.37952,0.37696,4
ROUGE-1,D0637A,23,0.39047,0.38933,0.38990,4
ROUGE-1,D0637A,20,0.37567,0.39479,0.38499,4
ROUGE-1,D0637A,21,0.35193,0.36523,0.35846,4
ROUGE-1,D0637A,35,0.34587,0.39126,0.36717,4
ROUGE-1,D0637A,17,0.34894,0.39111,0.36883,4
ROUGE-1,D0637A,18,0.31689,0.34934,0.33233,4
ROUGE-1,D0637A,19,0.38653,0.37938,0.38292,4
ROUGE-1,D0637A,13,0.38721,0.39257,0.38987,4
ROUGE-1,D0637A,14,0.38358,0.38855,0.38605,4
ROUGE-1,D0637A,15,0.35959,0.35311,0.35632,4
ROUGE-1,D0637A,16,0.35088,0.34706,0.34896,4
ROUGE-1,D0637A,A,0.55123,0.55500,0.55311,4
ROUGE-1,D0637A,10,0.35562,0.35474,0.35518,4
ROUGE-1,D0637A,12,0.38160,0.38500,0.38329,4
ROUGE-1,D0637A,11,0.18108,0.26912,0.21649,4
ROUGE-1,D0637A,C,0.57847,0.58300,0.58072,4
ROUGE-1,D0637A,G,0.58274,0.57617,0.57944,4
ROUGE-1,D0637A,F,0.54614,0.54020,0.54315,4
ROUGE-1,D0637A,30,0.30702,0.33405,0.31996,4
ROUGE-1,D0637A,31,0.38951,0.39777,0.39360,4
ROUGE-1,D0637A,32,0.35373,0.35417,0.35395,4
ROUGE-1,D0637A,33,0.37265,0.37008,0.37136,4
ROUGE-1,D0637A,34,0.34089,0.33725,0.33906,4
ROUGE-1,D332H,29,0.29024,0.27843,0.28421,4
ROUGE-1,D332H,28,0.25144,0.25413,0.25278,4
ROUGE-1,D332H,27,0.26570,0.24715,0.25609,4
ROUGE-1,D332H,3,0.31751,0.31633,0.31691,4
ROUGE-1,D332H,26,0.31169,0.33667,0.32370,4
ROUGE-1,D332H,4,0.29653,0.27672,0.28628,4
ROUGE-1,D332H,25,0.25711,0.24606,0.25147,4
ROUGE-1,D332H,5,0.25239,0.24899,0.25068,4
ROUGE-1,D332H,24,0.31127,0.30179,0.30646,4
ROUGE-1,D332H,6,0.31420,0.30456,0.30931,4
ROUGE-1,D332H,23,0.04100,0.31250,0.07249,4
ROUGE-1,D332H,22,0.17631,0.25000,0.20679,4
ROUGE-1,D332H,7,0.33602,0.32440,0.33011,4
ROUGE-1,D332H,8,0.27095,0.26295,0.26689,4
ROUGE-1,D332H,21,0.25863,0.25607,0.25734,4
ROUGE-1,D332H,9,0.24987,0.23922,0.24443,4
ROUGE-1,D332H,20,0.24322,0.30859,0.27203,4
ROUGE-1,D332H,H,0.54512,0.53800,0.54154,4
ROUGE-1,D332H,C,0.56432,0.55600,0.56013,4
ROUGE-1,D332H,2,0.22413,0.24886,0.23585,4
ROUGE-1,D332H,1,0.18150,0.29470,0.22465,4
ROUGE-1,D332H,17,0.28888,0.27647,0.28254,4
ROUGE-1,D332H,16,0.26382,0.25595,0.25983,4
ROUGE-1,D332H,19,0.32380,0.31225,0.31792,4
ROUGE-1,D332H,18,0.30875,0.30221,0.30545,4
ROUGE-1,D332H,A,0.55996,0.55300,0.55646,4
ROUGE-1,D332H,B,0.52390,0.55286,0.53799,4
ROUGE-1,D332H,11,0.24646,0.22822,0.23699,4
ROUGE-1,D332H,10,0.29848,0.28869,0.29350,4
ROUGE-1,D332H,31,0.10622,0.29545,0.15626,4
ROUGE-1,D332H,13,0.28107,0.29380,0.28729,4
ROUGE-1,D332H,12,0.25318,0.24700,0.25005,4
ROUGE-1,D332H,30,0.25197,0.24308,0.24745,4
ROUGE-1,D332H,15,0.25239,0.24600,0.24915,4
ROUGE-1,D332H,14,0.20048,0.20763,0.20399,4
ROUGE-1,D332H,32,0.22036,0.23168,0.22588,4
ROUGE-1,D0628A,I,0.55329,0.55200,0.55264,4
ROUGE-1,D0628A,H,0.53451,0.55745,0.54574,4
ROUGE-1,D0628A,22,0.34323,0.34654,0.34488,4
ROUGE-1,D0628A,23,0.36727,0.35784,0.36249,4
ROUGE-1,D0628A,G,0.54771,0.54600,0.54685,4
ROUGE-1,D0628A,24,0.34843,0.34600,0.34721,4
ROUGE-1,D0628A,25,0.35591,0.35542,0.35566,4
ROUGE-1,D0628A,A,0.55406,0.54086,0.54738,4
ROUGE-1,D0628A,26,0.25831,0.29608,0.27591,4
ROUGE-1,D0628A,27,0.36282,0.37037,0.36656,4
ROUGE-1,D0628A,28,0.35469,0.34646,0.35053,4
